	s_domain	domain_type	encoder_type	metric_name	metric_value	full_metric_name	clip_model_name
0	jojo (image)	image	orig	quality	0.26025390625	quality/jojo/ViT-B-32,	ViT-B-32
1	jojo (image)	image	orig	diversity	0.1859130859375	diversity/jojo/ViT-B-32,	ViT-B-32
2	jojo (image)	image	orig	quality	0.26806640625	quality/jojo/ViT-B-16,	ViT-B-16
3	jojo (image)	image	orig	diversity	0.1702880859375	diversity/jojo/ViT-B-16,	ViT-B-16
4	jojo (image)	image	e4e	quality	0.25537109375	quality/jojo/ViT-B-32,	ViT-B-32
5	jojo (image)	image	e4e	diversity	0.171142578125	diversity/jojo/ViT-B-32,	ViT-B-32
6	jojo (image)	image	e4e	quality	0.2626953125	quality/jojo/ViT-B-16,	ViT-B-16
7	jojo (image)	image	e4e	diversity	0.14990234375	diversity/jojo/ViT-B-16,	ViT-B-16
8	jojo (image)	image	fse	quality	0.25439453125	quality/jojo/ViT-B-32,	ViT-B-32
9	jojo (image)	image	fse	diversity	0.17578125	diversity/jojo/ViT-B-32,	ViT-B-32
10	jojo (image)	image	fse	quality	0.2626953125	quality/jojo/ViT-B-16,	ViT-B-16
11	jojo (image)	image	fse	diversity	0.15283203125	diversity/jojo/ViT-B-16,	ViT-B-16
12	jojo (image)	image	fse_with_features	quality	0.247314453125	quality/jojo/ViT-B-32,	ViT-B-32
13	jojo (image)	image	fse_with_features	diversity	0.3017578125	diversity/jojo/ViT-B-32,	ViT-B-32
14	jojo (image)	image	fse_with_features	quality	0.252197265625	quality/jojo/ViT-B-16,	ViT-B-16
15	jojo (image)	image	fse_with_features	diversity	0.28466796875	diversity/jojo/ViT-B-16,	ViT-B-16
16	jojo (image)	image	fse_with_generator_shift	quality	0.25439453125	quality/jojo/ViT-B-32,	ViT-B-32
17	jojo (image)	image	fse_with_generator_shift	diversity	0.26318359375	diversity/jojo/ViT-B-32,	ViT-B-32
18	jojo (image)	image	fse_with_generator_shift	quality	0.259765625	quality/jojo/ViT-B-16,	ViT-B-16
19	jojo (image)	image	fse_with_generator_shift	diversity	0.251708984375	diversity/jojo/ViT-B-16,	ViT-B-16
20	nigelwy_untitled_artwork_18 (image)	image	orig	quality	0.228759765625	quality/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
21	nigelwy_untitled_artwork_18 (image)	image	orig	diversity	0.242431640625	diversity/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
22	nigelwy_untitled_artwork_18 (image)	image	orig	quality	0.211669921875	quality/nigelwy_untitled_artwork_18/ViT-B-16,	ViT-B-16
23	nigelwy_untitled_artwork_18 (image)	image	orig	diversity	0.22802734375	diversity/nigelwy_untitled_artwork_18/ViT-B-16,	ViT-B-16
24	nigelwy_untitled_artwork_18 (image)	image	e4e	quality	0.233642578125	quality/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
25	nigelwy_untitled_artwork_18 (image)	image	e4e	diversity	0.237548828125	diversity/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
26	nigelwy_untitled_artwork_18 (image)	image	e4e	quality	0.21630859375	quality/nigelwy_untitled_artwork_18/ViT-B-16,	ViT-B-16
27	nigelwy_untitled_artwork_18 (image)	image	e4e	diversity	0.2197265625	diversity/nigelwy_untitled_artwork_18/ViT-B-16,	ViT-B-16
28	nigelwy_untitled_artwork_18 (image)	image	fse	quality	0.23291015625	quality/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
29	nigelwy_untitled_artwork_18 (image)	image	fse	diversity	0.25341796875	diversity/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
30	nigelwy_untitled_artwork_18 (image)	image	fse	quality	0.219970703125	quality/nigelwy_untitled_artwork_18/ViT-B-16,	ViT-B-16
31	nigelwy_untitled_artwork_18 (image)	image	fse	diversity	0.235107421875	diversity/nigelwy_untitled_artwork_18/ViT-B-16,	ViT-B-16
32	nigelwy_untitled_artwork_18 (image)	image	fse_with_features	quality	0.228271484375	quality/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
33	nigelwy_untitled_artwork_18 (image)	image	fse_with_features	diversity	0.33349609375	diversity/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
34	nigelwy_untitled_artwork_18 (image)	image	fse_with_features	quality	0.2275390625	quality/nigelwy_untitled_artwork_18/ViT-B-16,	ViT-B-16
35	nigelwy_untitled_artwork_18 (image)	image	fse_with_features	diversity	0.306884765625	diversity/nigelwy_untitled_artwork_18/ViT-B-16,	ViT-B-16
36	nigelwy_untitled_artwork_18 (image)	image	fse_with_generator_shift	quality	0.232421875	quality/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
37	nigelwy_untitled_artwork_18 (image)	image	fse_with_generator_shift	diversity	0.311279296875	diversity/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
38	nigelwy_untitled_artwork_18 (image)	image	fse_with_generator_shift	quality	0.229736328125	quality/nigelwy_untitled_artwork_18/ViT-B-16,	ViT-B-16
39	nigelwy_untitled_artwork_18 (image)	image	fse_with_generator_shift	diversity	0.2939453125	diversity/nigelwy_untitled_artwork_18/ViT-B-16,	ViT-B-16
40	digital_painting_jing (image)	image	orig	quality	0.30224609375	quality/digital_painting_jing/ViT-B-32,	ViT-B-32
41	digital_painting_jing (image)	image	orig	diversity	0.2139892578125	diversity/digital_painting_jing/ViT-B-32,	ViT-B-32
42	digital_painting_jing (image)	image	orig	quality	0.29638671875	quality/digital_painting_jing/ViT-B-16,	ViT-B-16
43	digital_painting_jing (image)	image	orig	diversity	0.193603515625	diversity/digital_painting_jing/ViT-B-16,	ViT-B-16
44	digital_painting_jing (image)	image	e4e	quality	0.305908203125	quality/digital_painting_jing/ViT-B-32,	ViT-B-32
45	digital_painting_jing (image)	image	e4e	diversity	0.2218017578125	diversity/digital_painting_jing/ViT-B-32,	ViT-B-32
46	digital_painting_jing (image)	image	e4e	quality	0.301025390625	quality/digital_painting_jing/ViT-B-16,	ViT-B-16
47	digital_painting_jing (image)	image	e4e	diversity	0.1917724609375	diversity/digital_painting_jing/ViT-B-16,	ViT-B-16
48	digital_painting_jing (image)	image	fse	quality	0.30078125	quality/digital_painting_jing/ViT-B-32,	ViT-B-32
49	digital_painting_jing (image)	image	fse	diversity	0.2242431640625	diversity/digital_painting_jing/ViT-B-32,	ViT-B-32
50	digital_painting_jing (image)	image	fse	quality	0.29345703125	quality/digital_painting_jing/ViT-B-16,	ViT-B-16
51	digital_painting_jing (image)	image	fse	diversity	0.1951904296875	diversity/digital_painting_jing/ViT-B-16,	ViT-B-16
52	digital_painting_jing (image)	image	fse_with_features	quality	0.285888671875	quality/digital_painting_jing/ViT-B-32,	ViT-B-32
