	s_domain	domain_type	encoder_type	metric_name	metric_value	full_metric_name	clip_model_name
0	jojo (image)	image	orig	quality	0.7822265625	quality/jojo/ViT-B-32,	ViT-B-32
1	jojo (image)	image	orig	diversity	0.1885986328125	diversity/jojo/ViT-B-32,	ViT-B-32
2	jojo (image)	image	e4e	quality	0.783203125	quality/jojo/ViT-B-32,	ViT-B-32
3	jojo (image)	image	e4e	diversity	0.171142578125	diversity/jojo/ViT-B-32,	ViT-B-32
4	jojo (image)	image	fse	quality	0.77490234375	quality/jojo/ViT-B-32,	ViT-B-32
5	jojo (image)	image	fse	diversity	0.1756591796875	diversity/jojo/ViT-B-32,	ViT-B-32
6	jojo (image)	image	fse_with_features	quality	0.65869140625	quality/jojo/ViT-B-32,	ViT-B-32
7	jojo (image)	image	fse_with_features	diversity	0.3017578125	diversity/jojo/ViT-B-32,	ViT-B-32
8	jojo (image)	image	fse_with_generator_shift	quality	0.70166015625	quality/jojo/ViT-B-32,	ViT-B-32
9	jojo (image)	image	fse_with_generator_shift	diversity	0.26318359375	diversity/jojo/ViT-B-32,	ViT-B-32
10	nigelwy_untitled_artwork_18 (image)	image	orig	quality	0.7734375	quality/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
11	nigelwy_untitled_artwork_18 (image)	image	orig	diversity	0.2388916015625	diversity/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
12	nigelwy_untitled_artwork_18 (image)	image	e4e	quality	0.7578125	quality/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
13	nigelwy_untitled_artwork_18 (image)	image	e4e	diversity	0.237548828125	diversity/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
14	nigelwy_untitled_artwork_18 (image)	image	fse	quality	0.7333984375	quality/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
15	nigelwy_untitled_artwork_18 (image)	image	fse	diversity	0.25341796875	diversity/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
16	nigelwy_untitled_artwork_18 (image)	image	fse_with_features	quality	0.60498046875	quality/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
17	nigelwy_untitled_artwork_18 (image)	image	fse_with_features	diversity	0.33349609375	diversity/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
18	nigelwy_untitled_artwork_18 (image)	image	fse_with_generator_shift	quality	0.64990234375	quality/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
19	nigelwy_untitled_artwork_18 (image)	image	fse_with_generator_shift	diversity	0.311279296875	diversity/nigelwy_untitled_artwork_18/ViT-B-32,	ViT-B-32
20	digital_painting_jing (image)	image	orig	quality	0.779296875	quality/digital_painting_jing/ViT-B-32,	ViT-B-32
21	digital_painting_jing (image)	image	orig	diversity	0.21875	diversity/digital_painting_jing/ViT-B-32,	ViT-B-32
22	digital_painting_jing (image)	image	e4e	quality	0.76708984375	quality/digital_painting_jing/ViT-B-32,	ViT-B-32
23	digital_painting_jing (image)	image	e4e	diversity	0.2218017578125	diversity/digital_painting_jing/ViT-B-32,	ViT-B-32
24	digital_painting_jing (image)	image	fse	quality	0.7509765625	quality/digital_painting_jing/ViT-B-32,	ViT-B-32
25	digital_painting_jing (image)	image	fse	diversity	0.224365234375	diversity/digital_painting_jing/ViT-B-32,	ViT-B-32
26	digital_painting_jing (image)	image	fse_with_features	quality	0.6748046875	quality/digital_painting_jing/ViT-B-32,	ViT-B-32
27	digital_painting_jing (image)	image	fse_with_features	diversity	0.296875	diversity/digital_painting_jing/ViT-B-32,	ViT-B-32
28	digital_painting_jing (image)	image	fse_with_generator_shift	quality	0.70703125	quality/digital_painting_jing/ViT-B-32,	ViT-B-32
29	digital_painting_jing (image)	image	fse_with_generator_shift	diversity	0.27294921875	diversity/digital_painting_jing/ViT-B-32,	ViT-B-32
30	titan_armin (image)	image	orig	quality	0.7802734375	quality/titan_armin/ViT-B-32,	ViT-B-32
31	titan_armin (image)	image	orig	diversity	0.2420654296875	diversity/titan_armin/ViT-B-32,	ViT-B-32
32	titan_armin (image)	image	e4e	quality	0.7939453125	quality/titan_armin/ViT-B-32,	ViT-B-32
33	titan_armin (image)	image	e4e	diversity	0.217041015625	diversity/titan_armin/ViT-B-32,	ViT-B-32
34	titan_armin (image)	image	fse	quality	0.78173828125	quality/titan_armin/ViT-B-32,	ViT-B-32
35	titan_armin (image)	image	fse	diversity	0.21484375	diversity/titan_armin/ViT-B-32,	ViT-B-32
36	titan_armin (image)	image	fse_with_features	quality	0.6728515625	quality/titan_armin/ViT-B-32,	ViT-B-32
37	titan_armin (image)	image	fse_with_features	diversity	0.308837890625	diversity/titan_armin/ViT-B-32,	ViT-B-32
38	titan_armin (image)	image	fse_with_generator_shift	quality	0.708984375	quality/titan_armin/ViT-B-32,	ViT-B-32
39	titan_armin (image)	image	fse_with_generator_shift	diversity	0.281494140625	diversity/titan_armin/ViT-B-32,	ViT-B-32
40	joker (image)	image	orig	quality	0.76708984375	quality/joker/ViT-B-32,	ViT-B-32
41	joker (image)	image	orig	diversity	0.12451171875	diversity/joker/ViT-B-32,	ViT-B-32
42	joker (image)	image	e4e	quality	0.77392578125	quality/joker/ViT-B-32,	ViT-B-32
43	joker (image)	image	e4e	diversity	0.11639404296875	diversity/joker/ViT-B-32,	ViT-B-32
44	joker (image)	image	fse	quality	0.78271484375	quality/joker/ViT-B-32,	ViT-B-32
45	joker (image)	image	fse	diversity	0.1162109375	diversity/joker/ViT-B-32,	ViT-B-32
46	joker (image)	image	fse_with_features	quality	0.65087890625	quality/joker/ViT-B-32,	ViT-B-32
47	joker (image)	image	fse_with_features	diversity	0.25732421875	diversity/joker/ViT-B-32,	ViT-B-32
48	joker (image)	image	fse_with_generator_shift	quality	0.76220703125	quality/joker/ViT-B-32,	ViT-B-32
49	joker (image)	image	fse_with_generator_shift	diversity	0.1392822265625	diversity/joker/ViT-B-32,	ViT-B-32
50	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	orig	quality	0.7001953125	quality/oliver_wetter_corie_lynn_concept_1_final_back_web/ViT-B-32,	ViT-B-32
51	oliver_wetter_corie_lynn_concept_1_final_back_web (image)	image	orig	diversity	0.265869140625	diversity/oliver_wetter_corie_lynn_concept_1_final_back_web/ViT-B-32,	ViT-B-32
